Secretharbourvi.com-0040-2015Redesign;en-US;virgin-islands-hotels.com;9381;1;0
wentworthcom00212014redesign;en-US;www.google.com;4285;1;0
Thesagamore.com-0112-2017Redesign;en-US;android-app:;41584;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Saddlebrookprep.com-0022-2014Transfer;en-US;www.google.com;5376;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;www.google.com;8817;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.bing.com;25246;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.bing.com;25246;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.facebook.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.ca;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.ca;32541;1;0
Thesagamore.com-0112-2017Redesign;en-US;android-app:;41584;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16760;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pikes-peak.com;16721;1;0
Saddlebrookprep.com-0022-2014Transfer;en-US;www.google.com;3914;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Saddlebrookprep.com-0022-2014Transfer;en-US;www.google.com;3914;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;12887;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;search.yahoo.com;27232;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;search.yahoo.com;27232;1;0
Sandylane.com-0075-2016Redesign;en-US;partnerads.ysm.yahoo.com;17718;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4738;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13350;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Sandpearl.com-0091-2016Redesign;en-US;marketinsights.cleveland-research.com;22481;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.matscitech.org;9637;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;endi.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;endi.com;28158;1;0
