Napavalleymarriott.com-0071-2016Redesign;en-US;winetrain.com;16432;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.domain2008.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.bing.com;21918;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;m.facebook.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
wentworthcom00212014redesign;en-US;www.marriott.com;4250;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13371;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;na28.salesforce.com;22357;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;na28.salesforce.com;22357;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10570;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;r.search.yahoo.com;28666;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;25671;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.com;29280;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.co.uk;16721;1;0
Bellemontfarm.com-0007-2013Redesign;en-US;www.destinationweddingmag.com;11497;1;0
Galthouse.com-0042-2015Redesign;en-US;l.facebook.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
