Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
Cendyn.com-0095-2016Redesign;en-US;www.google.at;26640;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;16728;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;18286;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.google.com;3964;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;r.search.yahoo.com;8254;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.bing.com;36683;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25287;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25287;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baidu.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baidu.com;28316;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;www.google.com;30080;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com.au;3479;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.bing.com;3385;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;9121;1;0
Thesagamore.com-0112-2017Redesign;en-US;outlook.live.com;32339;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com.au;3463;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3463;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12410;1;0
saddlebrook.com-0011-2014Redesign;en-US;l.facebook.com;7302;1;0
saddlebrook.com-0011-2014Redesign;en-US;l.facebook.com;7302;1;0
saddlebrook.com-0011-2014Redesign;en-US;l.facebook.com;7302;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2037;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12402;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
