Opalsands.com-0084-2016Redesign;en-US;m.facebook.com;20171;1;0
Sandylane.com-0075-2016Redesign;en-US;r.search.yahoo.com;17684;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Sandpearl.com-0091-2016Redesign;en-US;captive.apple.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;captive.apple.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Sandpearl.com-0091-2016Redesign;en-US;search.yahoo.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3964;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3469;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.bing.com;9460;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10055;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com.br;3385;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.co.uk;12394;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;33471;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;33296;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Galthouse.com-0042-2015Redesign;en-US;www.kentuckyderby.com;31905;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;android-app:;12394;1;0
Sandpearl.com-0091-2016Redesign;en-US;search.yahoo.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17187;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.bing.com;23287;1;0
