Chrco.com-0107-2017Redesign;en-US;r.search.yahoo.com;29280;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17145;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;android-app:;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;android-app:;17447;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.visit-maine.com;37571;1;0
saddlebrook.com-0011-2014Redesign;en-US;android-app:;3385;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.thecrawfordhotel.com;15568;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16741;1;0
Cendyn.com-0095-2016Redesign;en-US;s23.a2zinc.net;26640;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;22720;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Sandpearl.com-0091-2016Redesign;en-US;captive.apple.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;captive.apple.com;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.rockytopco.com;18259;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.nl;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.nl;22481;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16764;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;18015;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;20439;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.bing.com;9637;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Theloganhotel.com-0043-2015Redesign;en-US;m.facebook.com;9118;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;twooceansdigital.com;3948;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
