Secretharbourvi.com-0040-2015Redesign;en-US;search.xfinity.com;9231;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16778;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.de;3385;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;18259;1;0
Sandpearl.com-0091-2016Redesign;en-US;1kreditzaim.ru;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;imedservice.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;fabrika-schastya.moscow;22481;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;6722;1;0
Sandylane.com-0075-2016Redesign;en-US;1kreditzaim.ru;17611;1;0
Sandylane.com-0075-2016Redesign;en-US;fabrika-schastya.moscow;17611;1;0
Sandylane.com-0075-2016Redesign;en-US;imedservice.com;17611;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;3739;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;3739;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Ecommerce.washingtondukeinn.com-0027-2014ShoppingCart;en-US;www.washingtondukeinn.com;6276;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
wentworthcom00212014redesign;en-US;www.google.com;4306;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.es;36683;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16790;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.fr;2240;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.bing.com;22725;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23287;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17667;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.baidu.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.baidu.com;28666;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
