Assuranceoperations.com-0065-2015Redesign;en-US;google.com;15263;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.wraithpowerlinks.com;15796;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.wraithpowerlinks.com;15796;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.wraithpowerlinks.com;15796;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.wraithpowerlinks.com;15796;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.wraithpowerlinks.com;15796;1;0
Lehotels.com-0049-2015Transfer;en-US;www.google.com;16024;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Cendyn.com-0095-2016Redesign;en-US;www.theweststreethotel.com;26640;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;23558;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;search.yahoo.com;28666;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.co.uk;32226;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.co.uk;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.eagles-nest-ranch.com;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.eagles-nest-ranch.com;16728;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.izito.com;7782;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16738;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16724;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.hotelrooms.com;7764;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.hotelrooms.com;7764;1;0
