Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com.ar;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.hotelrooms.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.co.uk;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.co.uk;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;outlook.live.com;20999;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4740;1;0
wentworthcom00212014redesign;en-US;www.google.com;4309;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22992;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17931;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;r.search.yahoo.com;32804;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Sandylane.com-0075-2016Redesign;en-US;yandex.ru;17611;1;0
