Crmweb.cendyn.com-0121-2017Redesign;en-US;www.kingsmill.com;38032;1;0
Samosetresort.com-0113-2017Redesign;en-US;us.search.yahoo.com;32541;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;24218;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2090;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;android-app:;7831;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;32799;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16793;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32347;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.visitcos.com;18010;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.visitcos.com;18010;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;24219;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.completewhois.org;14325;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33446;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;17449;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.co.kr;16721;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
wentworthcom00212014redesign;en-US;www.google.com;4259;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.ca;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
