Theharborsidehotel.com-0114-2017Redesign;en-US;teman.com.ua;37571;1;0
Cendyn.com-0095-2016Redesign;en-US;pages.cendyn.com;26640;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
wentworthcom00212014redesign;en-US;www.bing.com;26679;1;0
wentworthcom00212014redesign;en-US;www.google.com;4250;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Cendyn.com-0095-2016Redesign;en-US;pages.cendyn.com;26640;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Cendyn.com-0095-2016Redesign;en-US;go.cendyn.com;26640;1;0
Cendyn.com-0095-2016Redesign;en-US;archive.cendyn.com;26640;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cendyn.com-0095-2016Redesign;en-US;www.wanderfactor.com;26640;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28213;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.hotelrooms.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
