Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.de;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.xfinity.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;res.windsurfercrs.com;12394;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.ca;7926;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.colorado.com;18259;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com.ar;12410;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.hotelrooms.com;7764;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;google.com;4524;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;26800;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
