Lehotels.com-0049-2015Transfer;en-US;socialmediascanner.eset.com;15261;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;32984;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;3739;1;0
Thesagamore.com-0112-2017Redesign;en-US;en.wikipedia.org;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;en.wikipedia.org;32339;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;search.yahoo.com;22847;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;7253;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;dengi-v-kredit.in.ua;28545;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;21642;1;0
Broadmoor.com-0073-2016Redesign;en-US;cograilway.com;16721;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.sailawaymaine.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;cograilway.com;16721;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.sailawaymaine.com;32541;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;30638;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Thesagamore.com-0112-2017Redesign;en-US;en.wikipedia.org;32339;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;25405;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;search.yahoo.com;22725;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecurtis.com-0079-2016Redesign;en-US;m.facebook.com;17981;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;smsactivator.ru;12307;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;smsactivator.ru;12307;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;smsactivator.ru;12307;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;stroyplus.ru;12307;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.nl;9637;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;cap.aws.opennetworkexchange.net;25239;1;0
Denvercy.com-0036-2015Redesign;en-US;www.google.com;8150;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;cap.aws.opennetworkexchange.net;25239;1;0
