Cendyn.com-0095-2016Redesign;en-US;www.cendynarcaneo.com;26640;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10602;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;android-app:;7805;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2381;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;l.facebook.com;9460;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;search.xfinity.com;12406;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17933;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;36914;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;connectivitycheck.gstatic.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;connectivitycheck.gstatic.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;duderanch.org;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;search.yahoo.com;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10602;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;18259;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37654;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.tripsavvy.com;18187;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.bing.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14325;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
