Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.co.uk;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33452;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15568;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16755;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.ie;17611;1;0
wentworthcom00212014redesign;en-US;www.bing.com;26679;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18782;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16774;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16793;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.bing.com;16432;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25287;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18782;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;whois.domaintools.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;whois.domaintools.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;www.google.no;5271;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
