Thesagamore.com-0112-2017Redesign;en-US;www.google.rs;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;android-app:;9847;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17667;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.co.uk;12404;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3453;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16769;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16769;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.clubtacori2017.com;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;198.91.42.188;32541;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;int.search.myway.com;31905;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;22992;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;l.facebook.com;26800;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23048;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.ca;28316;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23476;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.ca;28666;1;0
