Sandylane.com-0075-2016Redesign;en-US;yandex.ru;17611;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17145;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
wentworthcom00212014redesign;en-US;xn----7sbabm1ahc4b2aqff.su;26679;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;travelnoire.com;7764;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Cendyn.com-0095-2016Redesign;en-US;www.washingtoncourthotel.com;26640;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10575;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22865;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18419;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.co.uk;28158;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Cendyn.com-0095-2016Redesign;en-US;www.washingtoncourthotel.com;26640;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Luxehotels.com-0078-2016Redesign;en-US;lax1-ib.adnxs.com;18830;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.ca;25239;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23473;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35152;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;godspeople.lpages.co;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16766;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.visitcalifornia.com;22725;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.ca;18831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;sanibel-island.sanibel-captiva.org;1533;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.ca;28545;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Denvercy.com-0036-2015Redesign;en-US;www.google.com;8150;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;canadianfamily.ca;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;canadianfamily.ca;28666;1;0
