Longboatkeyclub.com-0104-2017Redesign;en-US;www.tennisresortsonline.com;29874;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17667;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;m.facebook.com;9847;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
wentworthcom00212014redesign;en-US;www.marriott.com;4250;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;unofficialnetworks.com;16728;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.myway.com;16721;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18831;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.com;29280;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
Samosetresort.com-0113-2017Redesign;en-US;r.search.yahoo.com;32541;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.nail-artmaster.ru;17858;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;fabrika-schastya.moscow;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18013;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;22992;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.weddingwire.com;22649;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.acadiamagic.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2090;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;search.xfinity.com;16432;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.ca;2037;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21232;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
wentworthcom00212014redesign;en-US;android-app:;4250;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33455;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;l.facebook.com;17145;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
saddlebrook.com-0011-2014Redesign;en-US;xn----dtbndd4ae7eub.top;3469;1;0
Chrco.com-0107-2017Redesign;en-US;search.yahoo.com;29280;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17667;1;0
saddlebrook.com-0011-2014Redesign;en-US;xn----dtbndd4ae7eub.top;3469;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
