Marriottkeylargo.com-0015-2014Redesign;en-US;www.bing.com;3948;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.co.uk;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12410;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Cendyn.com-0095-2016Redesign;en-US;www.cendynone.com;26640;1;0
Cendyn.com-0095-2016Redesign;en-US;www.cendynone.com;26640;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;duckduckgo.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16764;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;21542;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10577;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.hotel-online.com;29966;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;flip.to;12394;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;android-app:;17667;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;events.r20.constantcontact.com;4524;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.de;25239;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23001;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.de;25239;1;0
theweststreethotel.com-0115-2017Redesign;en-US;r.search.yahoo.com;36683;1;0
Casaybelresort.com-0002-2014Redesign;en-US;m.facebook.com;1613;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;3210.client.cendyn.com;25405;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;19301;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.visit-maine.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;android-app:;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.openmultipleurl.com;16721;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10577;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.openmultipleurl.com;16721;1;0
Cendyn.com-0095-2016Redesign;en-US;www.sandpearl.com;26640;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
