Newyorkpalacemeetings.com-0045-2015Redesign;en-US;www.lottenypalace.com;9207;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4733;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18013;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.bing.com;3385;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;18486;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25311;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25311;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;barbecuebible.com;17465;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22847;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;19333;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;resident.com;9231;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28349;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;31709;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.bing.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.bing.com;32541;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;10040;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;32984;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Broadmoor.com-0073-2016Redesign;en-US;742438516.keywordblocks.com;16728;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;35716;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pikes-peak.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.thesagamore.com;28545;1;0
Theloganhotel.com-0043-2015Redesign;en-US;m.facebook.com;20218;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.thesagamore.com;28545;1;0
