Theloganhotel.com-0043-2015Redesign;en-US;l.facebook.com;15962;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16738;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Thesagamore.com-0112-2017Redesign;en-US;m.facebook.com;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1616;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
saddlebrook.com-0011-2014Redesign;en-US;r.search.yahoo.com;3469;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.de;17682;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;www.broadmoor.com;26973;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1533;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Courtyardportlandcitycenter.com-0063-2015Redesign;en-US;www.google.com;14545;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.ca;22725;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1710;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.facebook.com;28667;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.facebook.com;28667;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.bing.com;29651;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20916;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;r.search.yahoo.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;r.search.yahoo.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;m.facebook.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.ca;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Opalsands.com-0084-2016Redesign;en-US;search.yahoo.com;20171;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;android-app:;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16764;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
