Minnetonkamarriott.com-0039-2015Redesign;en-US;m.facebook.com;9617;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14331;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.co.uk;28317;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;5165;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;5165;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.cl;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.pl;7831;1;0
wentworthcom00212014redesign;en-US;www.theheartofnewengland.com;26679;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pikes-peak.com;18259;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10563;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3964;1;0
wentworthcom00212014redesign;en-US;www.google.com;4307;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ophotels.com;27232;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Casaybelresort.com-0002-2014Redesign;en-US;search.yahoo.com;1613;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.ophotels.com;37571;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.worldcam.pl;28317;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.ophotels.com;28545;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.ophotels.com;28666;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;25405;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2829;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3948;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2845;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3964;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.earthcam.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.co.uk;22357;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
