Theoxfordhotel.com-0062-2015Redesign;en-US;r.search.yahoo.com;14325;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.goduke.com;4524;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.goduke.com;4524;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.lifesabeachtriathlon.com;28666;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com.mx;22481;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;googleads.g.doubleclick.net;16728;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;www.broadmoor.com;27350;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22995;1;0
Galthouse.com-0042-2015Redesign;en-US;www.tripadvisor.com;31905;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;m.facebook.com;8282;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.earthcam.com;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3964;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;m.facebook.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;search.yahoo.com;12394;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16724;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18830;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;37128;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
