Monarchbeachresort.com-0092-2016Redesign;en-US;www.yelp.com;22725;1;0
wentworthcom00212014redesign;en-US;www.google.com;4311;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;r.search.yahoo.com;17858;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;www.google.com;12307;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16765;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16765;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28667;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;22720;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16763;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16763;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;na28.salesforce.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;na28.salesforce.com;32541;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;26359;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;m.facebook.com;9617;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;android-app:;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
saddlebrook.com-0011-2014Redesign;en-US;search.yahoo.com;3623;1;0
