Ecommerce.washingtondukeinn.com-0027-2014ShoppingCart;en-US;www.washingtondukeinn.com;6276;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16769;1;0
Theloganhotel.com-0043-2015Redesign;en-US;l.facebook.com;15962;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.fla-keys.com;3964;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Glencovemansion.com-0058-2015Redesign;en-US;mikomos.com;13328;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.ca;29651;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.co.kr;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.co.kr;37571;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;19391;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;18259;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4579;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;duckduckgo.com;14346;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33479;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.kentuckyderby.com;31905;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;5165;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;5165;1;0
Cendyn.com-0095-2016Redesign;en-US;www.inboundlinks.win;26640;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;boecore.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;boecore.com;16721;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23287;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8253;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Theloganhotel.com-0043-2015Redesign;en-US;m.facebook.com;9118;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.visitcos.com;16721;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;19391;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
