Jupiterbeachresort.com-0103-2017Redesign;en-US;cool-wedding.net;28158;1;0
Thesagamore.com-0112-2017Redesign;en-US;m.facebook.com;32340;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;optom-deshevo.ru;2829;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.floridakeyswebcams.tv;3948;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.thetrain.com;16721;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.ca;22169;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14331;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.dk;17699;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.thetrain.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cendyn.com-0095-2016Redesign;en-US;www.gmanetwork.com;35555;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;9119;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;duckduckgo.com;22720;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.webcamplaza.net;7831;1;0
Theloganhotel.com-0043-2015Redesign;en-US;m.facebook.com;18416;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3483;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;l.facebook.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15568;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3479;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
