Theoxfordhotel.com-0062-2015Redesign;en-US;travel-babel.com;14325;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Casaybelresort.com-0002-2014Redesign;en-US;android-app:;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;19379;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;r.search.yahoo.com;28332;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16800;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Cendyn.com-0095-2016Redesign;en-US;hotelexecutive.com;27813;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21231;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;36287;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;unionstationindenver.com;17187;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
