Galthouse.com-0042-2015Redesign;en-US;www.skywestonline.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21236;1;0
Courtyardportlandcitycenter.com-0063-2015Redesign;en-US;www.google.com;14545;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com.tr;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.visitmaine.net;32541;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.visitmaine.net;32541;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.bing.com;7764;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15568;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.hotelrooms.com;9231;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3964;1;0
