Saddlebrookprep.com-0022-2014Transfer;en-US;www.google.com.au;3914;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;r.search.yahoo.com;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;search.yahoo.com;4756;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
saddlebrook.com-0011-2014Redesign;en-US;m.facebook.com;3452;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;33978;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;www.google.com;20999;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.lakegeorge.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.lakegeorge.com;32339;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;18823;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28667;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newsday.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newsday.com;32339;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;irkutsk.zrus.org;8817;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;irkutsk.zrus.org;8817;1;0
wentworthcom00212014redesign;en-US;search.yahoo.com;26679;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18010;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com.ar;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28364;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28364;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;kaliningrad.zrus.org;20999;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32340;1;0
Sandylane.com-0075-2016Redesign;en-US;m.facebook.com;17745;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;22720;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;den-80202-5400.localdomain:8000;14325;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;www.broadmoor.com;26973;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.hn;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
