Sandylane.com-0075-2016Redesign;en-US;www.candidatemanager.net;17744;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
saddlebrook.com-0011-2014Redesign;en-US;search.yahoo.com;3385;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;35641;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.worldation.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.worldation.com;16728;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;www.google.com;8817;1;0
Broadmoor.com-0073-2016Redesign;en-US;lookup.t-mobile.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;lookup.t-mobile.com;16721;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23000;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Degreerestaurant.com-0056-2015Redesign;en-US;www.google.com;11598;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.google.com;3948;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;m.facebook.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18010;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Casaybelresort.com-0002-2014Redesign;en-US;android-app:;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;den-80202-5400.localdomain:444;14325;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;www.google.com;5271;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.co.uk;28364;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;www.google.com;12307;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.travelandleisure.com;16728;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25299;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25299;1;0
