Theharborsidehotel.com-0114-2017Redesign;en-US;www.barharborinfo.com;37571;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.fodors.com;16731;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.google.com;15599;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33475;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18013;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.clearwaterbeach.com;22481;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;17344;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;bizlist.com.de;22121;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;bizlist.com.de;22121;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16768;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16724;1;0
Cendyn.com-0095-2016Redesign;en-US;termoshop.com.ua;26640;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;29749;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Casaybelresort.com-0002-2014Redesign;en-US;fixup.ua;1533;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33535;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.ca;28317;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baysider.com;35641;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
