Jupiterbeachresort.com-0103-2017Redesign;en-US;www.hiamag.com;28158;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21231;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16738;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;32984;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;google.com;2240;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3479;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Opalsands.com-0084-2016Redesign;en-US;l.facebook.com;21542;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;tpc.googlesyndication.com;40344;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;tpc.googlesyndication.com;40344;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;33978;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28667;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;r.search.yahoo.com;22169;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pinterest.com;18259;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;surfinggator.com;3964;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;tpc.googlesyndication.com;40344;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.yourobserver.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.yourobserver.com;28316;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;17344;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17145;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.visitsarasota.com;28323;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;26800;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16791;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
wentworthcom00212014redesign;en-US;www.google.com;4294;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.fodors.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.fodors.com;32339;1;0
