Cendyn.com-0095-2016Redesign;en-US;www.longboatkeyclub.com;26640;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33925;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.barharborinfo.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;android-app:;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33479;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;android-app:;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;37631;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.bing.com;32226;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.123webcam.com;1613;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.ca;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.ca;37571;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;images.search.yahoo.com;1600;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16770;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com.pr;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com.pr;12394;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
