Thesagamore.com-0112-2017Redesign;en-US;www.emctestlab.ru;32339;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.tripsavvy.com;18187;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.bufetout.ru;32541;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com.au;18830;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;dvervmoskvu.ru;17671;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Samosetresort.com-0113-2017Redesign;en-US;intan-sec.ru;32541;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;dvervmoskvu.ru;17671;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;teman.com.ua;9231;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21921;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bufetout.ru;22481;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.co.uk;1533;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;www.google.com;8817;1;0
Sandylane.com-0075-2016Redesign;en-US;www.bufetout.ru;17611;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;22992;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;intan-sec.ru;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Sandylane.com-0075-2016Redesign;en-US;intan-sec.ru;17611;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10558;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;amp.travelandleisure.com;17145;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;den-80206-7226gw01-01-mdf.localdomain:444;22121;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
saddlebrook.com-0011-2014Redesign;en-US;termoshop.com.ua;3385;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;19391;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
