Thecrawfordhotel.com-0074-2016Redesign;en-US;r.search.yahoo.com;17145;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18208;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.shecklerfoundation.org;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Galthouse.com-0042-2015Redesign;en-US;whois.domaintools.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;whois.domaintools.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.ca;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.ca;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;17344;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
