Delraysandsresort.com-0097-2016Redesign;en-US;www.google.co.uk;27232;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.co.in;22547;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;secure53.ibahn.com;12394;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.ca;40846;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;secure53.ibahn.com;12394;1;0
Ecommerce.washingtondukeinn.com-0027-2014ShoppingCart;en-US;www.bing.com;5635;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;10040;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;secure53.ibahn.com;12394;1;0
Casaybelresort.com-0002-2014Redesign;en-US;surfinggator.com;1613;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Denvercy.com-0036-2015Redesign;en-US;www.google.com;8150;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
