Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.co.in;12394;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.bing.com;25246;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Galthouse.com-0042-2015Redesign;en-US;search.yahoo.com;31905;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Theloganhotel.com-0043-2015Redesign;en-US;m.facebook.com;20218;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.ca;40846;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;m.facebook.com;1639;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.ca;40846;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.ca;28316;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
wentworthcom00212014redesign;en-US;l.facebook.com;26679;1;0
wentworthcom00212014redesign;en-US;l.facebook.com;4259;1;0
