Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;www.google.co.za;20999;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.ch;37631;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16759;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33444;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Theloganhotel.com-0043-2015Redesign;en-US;r.search.yahoo.com;20218;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18014;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.co.uk;22481;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;3739;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.co.uk;28317;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;s0.2mdn.net;7839;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20561;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18010;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37654;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.google.com;3948;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.visitsarasota.com;28316;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.baidu.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.baidu.com;28666;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16759;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
