Theoxfordhotel.com-0062-2015Redesign;en-US;den-80202-5400.localdomain:8000;14325;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;216.4.116.29;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;17443;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;17443;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cendyn.com-0095-2016Redesign;en-US;go.cendyn.com;27813;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.co.uk;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
wentworthcom00212014redesign;en-US;www.google.com;4250;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.bing.com;23320;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.bing.com;22121;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1616;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.hu;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.hu;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22488;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28553;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3452;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.earthcam.com;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;14588;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28317;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.ca;40846;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1613;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;29844;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.bing.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
