Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15599;1;0
saddlebrook.com-0011-2014Redesign;en-US;r.search.yahoo.com;3468;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33922;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32351;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18293;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28354;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.visitmaine.net;37571;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7805;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;25671;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22488;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.co.uk;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.co.uk;20171;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ecosia.org;28158;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.co.uk;3385;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Lehotels.com-0049-2015Transfer;en-US;www.google.com;12108;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;18259;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Sandylane.com-0075-2016Redesign;en-US;www.travelchannel.com;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.bing.com;18831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.de;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32347;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.google.com;31709;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.google.com;31742;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
