Laxembassy.com-0008-2014Redesign;en-US;teman.com.ua;2037;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17698;1;0
wentworthcom00212014redesign;en-US;www.marriott.com;4250;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;search.xfinity.com;37571;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;woweb.com.ua;15789;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;r.search.yahoo.com;1533;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.bing.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;android-app:;12394;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.ophotels.com;35641;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3948;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2829;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;26679;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17611;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ophotels.com;27232;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.ophotels.com;28545;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.ophotels.com;28666;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;unionstationindenver.com;17190;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.ophotels.com;32339;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.ophotels.com;37571;1;0
Sandpearl.com-0091-2016Redesign;en-US;search.yahoo.com;22481;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.ophotels.com;36683;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.de;25239;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;www.cedars-sinai.edu;20999;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.de;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
