Washingtondukeinn.com-0024-2014Redesign;en-US;pyramidhotelgroup.com;4524;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33473;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33475;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3479;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.tastingtable.com;32794;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;17448;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;www.google.com;5494;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17684;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Samosetresort.com-0113-2017Redesign;en-US;refmarket.ru;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;xn--e1alcivt.xn--p1ai;32541;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35285;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35285;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;android-app:;22725;1;0
Thecurtis.com-0079-2016Redesign;en-US;results.searchlock.com;17981;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.bing.com;16432;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com.pe;25239;1;0
Sandpearl.com-0091-2016Redesign;en-US;refmarket.ru;22481;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Sandpearl.com-0091-2016Redesign;en-US;xn--e1alcivt.xn--p1ai;22481;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Sandylane.com-0075-2016Redesign;en-US;refmarket.ru;17611;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.ca;17688;1;0
Sandylane.com-0075-2016Redesign;en-US;xn--e1alcivt.xn--p1ai;17611;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.co.uk;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.co.uk;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.bing.com;28316;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.newyorkupstate.com;28545;1;0
Casaybelresort.com-0002-2014Redesign;en-US;search.tb.ask.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.newyorkupstate.com;28545;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22992;1;0
