Kittitianhill.com-0012-2014Redesign;en-US;r.search.yahoo.com;2236;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;us.search.yahoo.com;20999;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;ow.ly;41608;1;0
wentworthcom00212014redesign;en-US;www.google.com;4329;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35151;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18208;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.searchencrypt.com;16721;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21231;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com.uy;18833;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com.uy;18833;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com.uy;18833;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.co.uk;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.co.uk;25239;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com.uy;18833;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;www.google.com;5271;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.marinalife.com;2240;1;0
Sandpearl.com-0091-2016Redesign;en-US;l.facebook.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;l.facebook.com;22481;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3964;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Samosetresort.com-0113-2017Redesign;en-US;stillmiracle.com;32551;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16792;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;18823;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16759;1;0
wentworthcom00212014redesign;en-US;www.marriott.com;4250;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28553;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.tastingtable.com;32794;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
