Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com.au;33444;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.ca;31905;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32351;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32351;1;0
Casaybelresort.com-0002-2014Redesign;en-US;erastudio.kz;1533;1;0
Casaybelresort.com-0002-2014Redesign;en-US;termoshop.com.ua;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23644;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.travelandleisure.com;28545;1;0
Thesagamore.com-0112-2017Redesign;en-US;search.yahoo.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.travelandleisure.com;28545;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;na28.salesforce.com;22357;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;na28.salesforce.com;22357;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.theoxfordhotel.com;15568;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.theoxfordhotel.com;15568;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Thesagamore.com-0112-2017Redesign;en-US;android-app:;32347;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;android-app:;18013;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com.ph;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com.ph;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Saddlebrookprep.com-0022-2014Transfer;en-US;www.saddlebrook.com;3914;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com.ph;16721;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com.mx;9249;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10568;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;32794;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
