Hi-nyc.com-0108-2017Redesogm;en-US;cap.aws.opennetworkexchange.net;30080;1;0
Sandylane.com-0075-2016Redesign;en-US;esopini.com;17675;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.floridabywater.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.floridabywater.com;28316;1;0
Casaybelresort.com-0002-2014Redesign;en-US;board.bestofsanibelcaptiva.com;1613;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.nylabone.com;28545;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.nylabone.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;17699;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Sandylane.com-0075-2016Redesign;en-US;esopini.com;17675;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;na28.salesforce.com;32541;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;femaleface.ru;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;rvd.center;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;cleaningservices.kiev.ua;28316;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Samosetresort.com-0113-2017Redesign;en-US;esurvey.templates.cendyn.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Samosetresort.com-0113-2017Redesign;en-US;esurvey.templates.cendyn.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.google.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2037;1;0
Broadmoor.com-0073-2016Redesign;en-US;android-app:;17449;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
theweststreethotel.com-0115-2017Redesign;en-US;l.facebook.com;37486;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35227;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.starmandscircleassoc.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.starmandscircleassoc.com;28316;1;0
