Lehotels.com-0049-2015Transfer;en-US;www.google.co.nz;12108;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;pointsmilesandmartinis.boardingarea.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;pointsmilesandmartinis.boardingarea.com;28158;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;www.google.com;12468;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3948;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;26679;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2829;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ophotels.com;27232;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.ophotels.com;28545;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.ophotels.com;32339;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.ophotels.com;37571;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.ophotels.com;35641;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.ophotels.com;28666;1;0
wentworthcom00212014redesign;en-US;www.marriott.com;4250;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.ophotels.com;36683;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23039;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15789;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com.mx;4524;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com.mx;4524;1;0
Denvercy.com-0036-2015Redesign;en-US;www.google.com;8150;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15599;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;femaleface.ru;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;rvd.center;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;cleaningservices.kiev.ua;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32348;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28595;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;20439;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;r.search.yahoo.com;22121;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.indeed.com;28336;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.indeed.com;28336;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;t.co;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
