Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.ca;29848;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16766;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.co.in;29280;1;0
Bellemontfarm.com-0007-2013Redesign;en-US;www.google.com.mx;11497;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.visitcos.com;16721;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;r.search.yahoo.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.co.in;25405;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.co.in;29280;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1533;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;r.search.yahoo.com;4524;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;s0.2mdn.net;10923;1;0
