Casaybelresort.com-0002-2014Redesign;en-US;android-app:;1533;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;duckduckgo.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
wentworthcom00212014redesign;en-US;www.wickedgoodtraveltips.com;26679;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;www.google.com;9617;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17145;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Bluebirch.com-0072-2016Redesign;en-US;sevendays.com.ua;16693;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;www.facebook.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16769;1;0
Bluebirch.com-0072-2016Redesign;en-US;sevendays.com.ua;16693;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Galthouse.com-0042-2015Redesign;en-US;www.facebook.com;31905;1;0
Bluebirch.com-0072-2016Redesign;en-US;sevendays.com.ua;16693;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.co.uk;28316;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.newyorkupstate.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;23001;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
