Thecurtis.com-0079-2016Redesign;en-US;www.schultzecopywriting.com;17981;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;22790;1;0
Broadmoor.com-0073-2016Redesign;en-US;twitter.com;17445;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;23743;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3463;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16755;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.de;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;android-app:;30080;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18010;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
