Sandylane.com-0075-2016Redesign;en-US;www.google.nl;17688;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;worldcam.eu;28317;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.ca;9637;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.captivaisland.com;1533;1;0
saddlebrook.com-0011-2014Redesign;en-US;r.search.yahoo.com;3385;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Opalsands.com-0084-2016Redesign;en-US;www.baidu.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.baidu.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16757;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.ca;32576;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.bing.com;9801;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.google.co.uk;2845;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.google.co.uk;2845;1;0
saddlebrook.com-0011-2014Redesign;en-US;lm.facebook.com;3385;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.de;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Glencovemansion.com-0058-2015Redesign;en-US;l.facebook.com;13328;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;t.co;41608;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25246;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.google.com;27232;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Homewoodsuiteslax.com-0110-2017Redesign;en-US;www.google.com;30747;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;m.facebook.com;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;google.com;22357;1;0
