Washingtondukeinn.com-0024-2014Redesign;en-US;search.yahoo.com;4524;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.beachcamsusa.com;3948;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25271;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25271;1;0
Thesagamore.com-0112-2017Redesign;en-US;reservations.thesagamore.com;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.pinterest.com;28545;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
wentworthcom00212014redesign;en-US;www.google.com;4306;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;duckduckgo.com;18369;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Glencovemansion.com-0058-2015Redesign;en-US;untappedcities.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;android-app:;7764;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;l.facebook.com;26800;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17708;1;0
Thesagamore.com-0112-2017Redesign;en-US;r.search.yahoo.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;android-app:;28333;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.bing.com;32541;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;m.facebook.com;25446;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
