Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;den-80206-7226gw01-01-mdf.localdomain:8000;22121;1;0
Casaybelresort.com-0002-2014Redesign;en-US;r.search.yahoo.com;1613;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17730;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.bing.com;36683;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21931;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;2240;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;64.72.72.218;21931;1;0
Theloganhotel.com-0043-2015Redesign;en-US;juliuservinggolfclassic.com;20218;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18013;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1602;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;40846;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;search.yahoo.com;4524;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.oxfordclubspa.com;14325;1;0
Sandpearl.com-0091-2016Redesign;en-US;android-app:;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;connectivitycheck.gstatic.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;connectivitycheck.gstatic.com;22481;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28158;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;19324;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;twooceansdigital.com;3964;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22488;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.bing.com;7805;1;0
wentworthcom00212014redesign;en-US;www.google.com;26679;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;9920;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;7253;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;www.bing.com;30080;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.bing.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.bing.com;14325;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.bing.com;28666;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22496;1;0
