Theloganhotel.com-0043-2015Redesign;en-US;172.20.0.1:8000;20218;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Galthouse.com-0042-2015Redesign;en-US;r.search.yahoo.com;31905;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22998;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com.ar;25239;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18013;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;18823;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.bing.com;32226;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;duckduckgo.com;28316;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cendyn.com-0095-2016Redesign;en-US;www.marinetraffic.com;26640;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;r.search.yahoo.com;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;20439;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16741;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Galthouse.com-0042-2015Redesign;en-US;r.search.yahoo.com;31905;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;captive.apple.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;captive.apple.com;28158;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;bestromanticinns.com;7764;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.de;7831;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
Cendyn.com-0095-2016Redesign;en-US;www.universalhollywoodevents.com;26640;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.getawaypackages.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;searchads.msn.net;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;coloradoparent.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;coloradoparent.com;16721;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;android-app:;17145;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.co.uk;22481;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.inboundlinks.win;28666;1;0
wentworthcom00212014redesign;en-US;www.google.com;4307;1;0
