Washingtondukeinn.com-0024-2014Redesign;en-US;www.jbdukehotel.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.cograilway.com;18259;1;0
Theloganhotel.com-0043-2015Redesign;en-US;lm.facebook.com;20218;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18010;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32340;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;10558;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.miravalresorts.com;31709;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;r.search.yahoo.com;14325;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.tripadvisor.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.bing.com;9231;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18010;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32554;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.tripadvisor.com;22481;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.co.uk;20171;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;freevpn.ninja;22725;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22488;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14333;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baidu.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.baidu.com;28316;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;m.facebook.com;12407;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;duckduckgo.com;16721;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.google.com;15568;1;0
