Oxfordclubspa.com-0068-2016Redesign;en-US;www.theoxfordhotel.com;15568;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12403;1;0
Theloganhotel.com-0043-2015Redesign;en-US;nextrent-crimea.ru;18415;1;0
Theloganhotel.com-0043-2015Redesign;en-US;nextrent-crimea.ru;18415;1;0
Luxehotels.com-0078-2016Redesign;en-US;a.voyat.com;18805;1;0
wentworthcom00212014redesign;en-US;www.bing.com;26679;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.de;22169;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.de;22169;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.bing.com;25239;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16731;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17708;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28427;1;0
wentworthcom00212014redesign;en-US;www.google.com;4251;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;outlook.live.com;18782;1;0
Meateatery.com-0080-2016Redesign;en-US;www.bing.com;18505;1;0
Thesagamore.com-0112-2017Redesign;en-US;android-app:;32339;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;android-app:;28545;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32347;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.co.uk;17708;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;res.windsurfercrs.com;12394;1;0
Cendyn.com-0095-2016Redesign;en-US;m.facebook.com;41654;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.com;29280;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16761;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.yelp.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.yelp.com;32339;1;0
