Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.co.uk;17858;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Galthouse.com-0042-2015Redesign;en-US;www.bing.com;31905;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28678;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18010;1;0
Theloganhotel.com-0043-2015Redesign;en-US;l.facebook.com;15962;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16790;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.beachcamsusa.com;7831;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;android-app:;23188;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16766;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;www.google.com;8817;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;den-80206-7226gw01-01-mdf.localdomain:444;22121;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28427;1;0
Chrco.com-0107-2017Redesign;en-US;lechenie-gemorroya.com;29280;1;0
Chrco.com-0107-2017Redesign;en-US;lechenie-gemorroya.com;29280;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.ca;7831;1;0
Sandpearl.com-0091-2016Redesign;en-US;life-instyle.com;23082;1;0
Sandpearl.com-0091-2016Redesign;en-US;life-instyle.com;23082;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;rollepartyof5.com;22357;1;0
Galthouse.com-0042-2015Redesign;en-US;www.tripadvisor.com;31905;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17743;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32359;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;9920;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;tpc.googlesyndication.com;22357;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;tpc.googlesyndication.com;22357;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;37486;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
