Theharborsidehotel.com-0114-2017Redesign;en-US;search.aol.com;37981;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.bing.com;7253;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;googleads.g.doubleclick.net;31905;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.google.com;3964;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Casaybelresort.com-0002-2014Redesign;en-US;resep.xyz;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16724;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18014;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.cmzoo.org;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.herecomestheguide.com;15789;1;0
Galthouse.com-0042-2015Redesign;en-US;googleads.g.doubleclick.net;31905;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;dvervmoskvu.ru;33204;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;29844;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;dvervmoskvu.ru;33204;1;0
Lehotels.com-0049-2015Transfer;en-US;www.google.com;13881;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.tripadvisor.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16763;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16763;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;29875;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;31709;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;googleads.g.doubleclick.net;31905;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
