Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23227;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.bing.com;36683;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13330;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28316;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.bing.com;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;20439;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cendyn.com-0095-2016Redesign;en-US;refmarket.ru;26640;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.biddingforgood.com;18014;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18010;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8325;1;0
Laxembassy.com-0008-2014Redesign;en-US;vsdshnik.com;2147;1;0
Laxembassy.com-0008-2014Redesign;en-US;vsdshnik.com;2147;1;0
Denvercy.com-0036-2015Redesign;en-US;www.google.com;8150;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.dogpile.com;32339;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Laxembassy.com-0008-2014Redesign;en-US;vsdshnik.com;2147;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.ca;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18014;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;www.google.com;15801;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.tripadvisor.com;7764;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33479;1;0
Galthouse.com-0042-2015Redesign;en-US;s0.2mdn.net;10582;1;0
