Lakeplacidlodge.com-0105-2017Redesign;en-US;www.thesagamore.com;28545;1;0
Samosetresort.com-0113-2017Redesign;en-US;cse.google.com;32541;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.com;29280;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;m.facebook.com;12394;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18485;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;l.facebook.com;2240;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22998;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23287;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;26178;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.aol.com;16721;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;reservations.thesagamore.com;32339;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www-brides-com.cdn.ampproject.org;2240;1;0
Thesagamore.com-0112-2017Redesign;en-US;reservations.thesagamore.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Galthouse.com-0042-2015Redesign;en-US;s0.2mdn.net;33603;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;17957;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;9922;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;3210.client.cendyn.com;25405;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Glencovemansion.com-0058-2015Redesign;en-US;android-app:;13328;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.ca;3385;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12410;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;r.search.yahoo.com;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Theloganhotel.com-0043-2015Redesign;en-US;l.facebook.com;20218;1;0
