Montaukyachtclub.com-0010-2014Redesign;en-US;pro-promat.ru;2240;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16799;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33922;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;www.google.com;30080;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.bing.com;28158;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;us.yhs4.search.yahoo.com;30080;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22364;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;22992;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17739;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16778;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;m.facebook.com;14325;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;m.facebook.com;22992;1;0
wentworthcom00212014redesign;en-US;www.google.com;4250;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;reservations.delraysandsresort.com;27280;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18831;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;r.search.yahoo.com;28666;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22490;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17611;1;0
Sandpearl.com-0091-2016Redesign;en-US;na28.salesforce.com;22481;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.ca;3385;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22532;1;0
