Samosetresort.com-0113-2017Redesign;en-US;www.visitmaine.net;32541;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pinterest.com;18169;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pinterest.com;18169;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;31709;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.inboundlinks.win;32339;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21232;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;r.search.yahoo.com;25239;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;m.facebook.com;9617;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;32807;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18208;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.theoxfordhotel.com;15568;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;www.theoxfordhotel.com;15568;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37581;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;16721;1;0
Theloganhotel.com-0043-2015Redesign;en-US;lm.facebook.com;18416;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;23743;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14332;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Casaybelresort.com-0002-2014Redesign;en-US;search.myway.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.thesagamore.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18014;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;16790;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.google.com;31709;1;0
Casaybelresort.com-0002-2014Redesign;en-US;tpc.googlesyndication.com;1533;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;na28.salesforce.com;22357;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Oxfordclubspa.com-0068-2016Redesign;en-US;m.facebook.com;15599;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;37631;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
