Cocokeyorlando.com-0059-2015Redesign;en-US;r.search.yahoo.com;12394;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;22121;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.bing.com;27232;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.bing.com;27232;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ecosia.org;27232;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ecosia.org;27232;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22176;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.bing.com;7764;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14331;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;21232;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28673;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;m.facebook.com;28673;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
