Thecurtis.com-0079-2016Redesign;en-US;www.psychopathology.org;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18014;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.hn;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18014;1;0
Theloganhotel.com-0043-2015Redesign;en-US;l.facebook.com;15962;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;www.google.com;9231;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17684;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Sandylane.com-0075-2016Redesign;en-US;www.google.com;17693;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;www.google.com;5271;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;m.facebook.com;18010;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
