Cendyn.com-0095-2016Redesign;en-US;events.eyefortravel.com;27813;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.co.in;16721;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;r.search.yahoo.com;28158;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16766;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18485;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.monarchbeachresort.com;32984;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;r.search.yahoo.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;m.facebook.com;1639;1;0
