Luxehotels.com-0078-2016Redesign;en-US;www.google.dk;18830;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.facebook.com;7764;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Opalsands.com-0084-2016Redesign;en-US;www.tripadvisor.com;40846;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;10836;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;search.aol.co.uk;28316;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.co.uk;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.ca;18782;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com.br;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com.br;12394;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37941;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Opalsands.com-0084-2016Redesign;en-US;search.yahoo.com;21642;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.barharborinfo.com;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.barharborinfo.com;37571;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.yelp.com;22785;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
